Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Indonesia,"DHARMA KARTIKA VII",PONTIANAK,"2022-09-08 14:30:00","PONTIANAK SEMARANG",PONTIANAK,9174751,Cargo,"2022-09-08 13:51:55",-0.01940833,109.3372
Indonesia,"ILE DE RE",SINGAPORE,-,"AEW SINGAPORE",,8200278,"Special Craft","2022-09-08 13:53:54",22.79333,124.25
Indonesia,"TIMAS 1201",,"2022-09-04 12:00:00",MERAKES,,9513579,"Special Craft","2022-09-07 08:14:53",-1.36495,117.5797
Indonesia,BRABO,"BATU AMPAR","2022-07-03 10:00:00","ID BATAM","BATU AMPAR",9382372,"Special Craft","2022-09-08 13:53:14",1.079967,103.8894
Indonesia,"LIMIN VENTURE","BATU AMPAR","2022-09-07 13:00:00","BATUAMPAR, BATAM","BATU AMPAR ANCH",8027810,"Special Craft","2022-09-08 13:52:24",1.177023,103.9722
Indonesia,"CS NUSANTARA EXPLORER",,"2022-08-05 18:00:00","PTR RSA",,9126584,"Special Craft","2022-09-08 13:53:48",64.49167,178.4217
Indonesia,"CS TENEO",SINGAPORE,"2022-08-15 05:00:00",SINGAPORE,"SINGAPORE ANCH",9019602,"Special Craft","2022-09-08 13:49:33",1.269175,103.8735
Indonesia,"VOYAGER EXPLORER","LADNER AUTHORITY",-,"DELTA BATAM","BATU AMPAR",9319052,"Special Craft","2022-09-08 13:41:58",1.005028,103.9569
Indonesia,"ELSA REGENT","BATU AMPAR",-,BATAM,"BATU AMPAR",9017757,"Special Craft","2022-09-08 01:36:07",1.15341,103.9968
Indonesia,"GRIYA JAWA",SORONG,"2022-09-09 00:00:00",SORONG,SORONG,9212589,Tanker,"2022-09-08 12:00:57",-0.8794084,131.2488
Indonesia,"PACIFIC GUARDIAN",,"2022-09-03 12:00:00",TALIABU,,8222941,"Special Craft","2022-09-08 13:40:47",-2.114355,125.0842
Indonesia,"DNEX PACIFIC LINK","PASIR GUDANG","2022-08-28 10:00:00","JOHOR PORT","PASIR GUDANG",9017824,"Special Craft","2022-09-08 13:52:18",1.432333,103.9208
Indonesia,"IFAMA MAS",BELAWAN,-,IDBLW,,9164251,Cargo,"2022-09-08 11:13:56",-3.790667,107.7021
Indonesia,AISHAKAMILAH,MAKASSAR,-,MAKASSAR,,9039585,Cargo,"2022-09-08 13:26:57",-5.649833,110.9677
Indonesia,"DEEP BLUE",CILACAP,"2022-09-06 15:00:00",CILACAP,"CILACAP ANCH",9299903,Tanker,"2022-09-08 07:52:51",-7.753167,109.0512
Indonesia,"CMA CGM HOMERE",NOUAKCHOTT,-,MRNKC,,9362322,Cargo,"2022-09-08 13:53:57",28.14803,-13.40671
Indonesia,"PRIMA CONCORD",BONTANG,"2022-08-17 00:00:00","ID JKT>ID BXT","BONTANG ANCH",9256793,Tanker,"2022-09-08 13:51:35",0.007881667,117.6221
Indonesia,"PACIFIC FINDER",LABUAN,"2020-09-09 07:00:00",LABUAN,"BRUNEI BAY",9548495,"Special Craft","2020-09-12 03:02:56",5.160128,115.3261
Indonesia,"PELAGOS ONE",JAKARTA,"2022-09-08 08:00:00","ID TG PRIOK","JAKARTA ANCH",9299898,Tanker,"2022-09-08 13:49:35",-6.0145,106.9212
Indonesia,"GAS FELICITY",GALVESTON,"2022-08-31 09:30:00","GALVESTON ANCHR",FREEPORT,9354624,Tanker,"2022-09-08 13:52:24",28.93493,-95.33128
Indonesia,"SC ESTEEM LII",PENGERANG,"2022-09-08 09:00:00",PENGERANG.MY,"PASIR GUDANG ANCH",9251573,Tanker,"2022-09-08 13:52:02",1.312235,104.151
Indonesia,"GAS CAMELOT",KALBUT,"2022-07-13 13:30:00",KALBUT,KALBUT,9352963,Tanker,"2022-09-08 13:53:42",-7.595,113.9917
Indonesia,"SC EXPLORER LIII",TUBAN,"2022-09-04 03:00:00",TUBAN,"TUBAN ANCH",9251561,Tanker,"2022-09-08 09:19:31",-6.706827,111.9188
Indonesia,"ASEAN EXPLORER","BATU AMPAR",-,BATAM,,9236676,"Special Craft","2022-09-08 13:50:03",-1.313333,107.0383
