Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Calculated Eta","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,"Current Port Unlocode"
Indonesia,KELUD,"BATU AMPAR","2022-10-27 05:00:00",BATAM,,JAKARTA,9139684,Passenger,"2022-11-25 12:52:02",-6.105015,106.8824,IDJKT
Indonesia,"EKAPUTRA 1",JAKARTA,"2022-11-23 23:00:00","ID JKT",,JAKARTA,8706155,Tanker,"2022-11-25 12:52:35",-5.975362,106.7988,IDJKT
Indonesia,"COMMODORE ONE",JAKARTA,"2022-11-23 02:36:00",TG.PRIOK,,JAKARTA,9260017,Tanker,"2022-11-25 12:43:56",-6.101518,106.9061,IDJKT
Indonesia,"SERASI III",JAKARTA,"2022-11-20 10:00:00","TG PRIOK JKT",,JAKARTA,8716162,Cargo,"2022-11-25 12:54:16",-6.098467,106.9135,IDJKT
Indonesia,"KALIMANTAN LEADER",JAKARTA,"2022-11-25 17:00:00","ID JKT","2022-11-25 12:30:00","JAKARTA ANCH",9078567,Cargo,"2022-11-25 12:51:27",-6.023925,106.9087,
Indonesia,"LNG AQUARIUS",JAKARTA,"2021-04-07 04:00:00","ID TPP",,"JAKARTA ANCH",7390181,Tanker,"2021-12-18 23:24:45",-5.948823,106.7709,
Indonesia,"KRI DEWARUCI",PALEMBANG,,"No data (CLASS B transponder)",,JAKARTA,0,"Sailing Vessel","2022-11-24 02:25:00",-6.097475,106.8911,IDJKT
Indonesia,"MERATUS AMPANA",JAKARTA,"2022-11-24 13:00:00",ID-JAKARTA,,JAKARTA,9262950,Cargo,"2022-11-25 12:54:00",-6.104856,106.888,IDJKT
Indonesia,"MERATUS AMURANG",JAKARTA,"2022-11-22 13:00:00","ID JKT",,"JAKARTA ANCH",9262962,Cargo,"2022-11-25 12:54:12",-6.02998,106.9063,
Indonesia,"CTP FORTUNE",JAKARTA,"2022-11-25 02:00:00","JAKARTA P/S",,JAKARTA,9181730,Cargo,"2022-11-25 00:06:49",-6.104033,106.8922,IDJKT
Indonesia,"JOHAN FORTUNE",JAKARTA,,"No data (CLASS B transponder)",,"JAKARTA ANCH",9285457,Cargo,"2022-11-25 09:14:40",-6.052865,106.8934,
Indonesia,"CC SEJATI",JAKARTA,"2022-11-23 14:00:00",TG.PRIOK,,JAKARTA,9170937,Cargo,"2022-11-25 12:52:30",-6.10231,106.8777,IDJKT
Indonesia,"ORIENTAL GALAXY",JAKARTA,"2022-11-25 01:00:00",IDJKT,,JAKARTA,9120920,Cargo,"2022-11-25 12:52:41",-6.101338,106.8827,IDJKT
Indonesia,"WEDA PIONEER",JAKARTA,"2022-11-25 01:00:00",TG.PRIOK,,"JAKARTA ANCH",9417476,Tanker,"2022-11-25 12:51:37",-6.043108,106.8965,
Indonesia,"NAVIGATOR GLOBAL",JAKARTA,"2022-11-21 14:00:00",ID-TGP,,JAKARTA,9536375,Tanker,"2022-11-25 12:54:04",-6.098935,106.9061,IDJKT
Indonesia,RANIA,,"2022-11-25 07:30:00","TG.P R I O K",,JAKARTA,8001490,Cargo,"2022-11-25 12:50:17",-6.098452,106.9119,IDJKT
Indonesia,CEPAT,JAKARTA,"2022-11-20 12:00:00","TG PRIOK",,"JAKARTA ANCH",9047207,Cargo,"2022-11-25 12:53:19",-6.034687,106.8914,
Indonesia,"GAS CAMELLIA",JAKARTA,"2022-10-10 15:00:00",TG.PRIOK,,"JAKARTA ANCH",9244403,Tanker,"2022-11-25 12:48:32",-6.049193,106.8967,
Indonesia,"KANAL MAS",JAKARTA,"2022-11-25 02:00:00",JAKARTA,,JAKARTA,9671890,Cargo,"2022-11-25 12:48:17",-6.097533,106.8882,IDJKT
Indonesia,"TANTO PRATAMA",JAKARTA,"2022-11-20 23:00:00",ID.JAKARTA,,JAKARTA,9118408,Cargo,"2022-11-25 12:52:09",-6.102598,106.8838,IDJKT
Indonesia,TANGKAS,"TANJUNG PELEPAS","2022-11-22 06:00:00",KHH-TPP,"2022-12-02 01:47:00","JAKARTA ANCH",9072252,Cargo,"2022-11-25 12:53:10",-6.033767,106.8983,
Indonesia,"KRI SPICA 934",SEMARANG,"2023-01-01 00:00:00",,,JAKARTA,0,"Special Craft","2022-11-25 12:53:33",-6.09302,106.8782,IDJKT
Indonesia,"TANTO TANGGUH",JAKARTA,"2022-11-19 01:00:00",ID.TPP,,"JAKARTA ANCH",9169665,Cargo,"2022-11-25 12:53:21",-6.044965,106.8714,
Indonesia,"BARUNA JAYA VIII",AMBON,"2022-08-15 14:30:00",,,JAKARTA,9155171,Fishing,"2022-11-25 12:52:24",-6.095802,106.8006,IDJKT
Indonesia,"ICON DANIEL",JAKARTA,"2022-11-25 12:00:00",JAKARTA,"2022-11-25 05:54:00","JAKARTA ANCH",9843194,Cargo,"2022-11-25 12:54:14",-6.037923,106.8686,
Indonesia,"MULYA SENTOSA II",JAKARTA,"2022-11-25 15:30:00","ID.TG PRIOK",,JAKARTA,9291054,Cargo,"2022-11-25 12:54:13",-6.100665,106.8774,IDJKT
Indonesia,"GAS WIDURI",JAKARTA,"2022-11-24 19:30:00",TG.PRIOK,"2022-11-24 12:51:00","JAKARTA ANCH",9590668,Tanker,"2022-11-25 12:52:56",-6.014455,106.8964,
Indonesia,"BARUNA JAYA 1",JAKARTA,"2022-05-14 23:00:00",JAKARTA,,JAKARTA,8420036,"Special Craft","2022-11-23 08:57:07",-6.095805,106.8005,IDJKT
Indonesia,"TELAGA MAS",JAKARTA,"2022-11-22 23:59:00",JAKARTA,,JAKARTA,9672375,Cargo,"2022-11-24 04:28:29",-6.0942,106.8805,IDJKT
Indonesia,SALVIA,JAKARTA,"2022-11-25 06:00:00","TANJUNG PANDAN",,JAKARTA,8614261,Passenger,"2022-11-25 12:51:26",-6.106278,106.8829,IDJKT
Indonesia,"WARIH MAS",JAKARTA,"2022-11-11 00:30:00","TG PRIOK",,JAKARTA,9672351,Cargo,"2022-11-18 05:34:01",-6.094208,106.8805,IDJKT
Indonesia,"NUSANTARA REGAS SATU",,"1900-01-01 00:00:00","FIXED NOORED",,JAKARTA,7382744,Tanker,"2022-11-25 12:51:35",-5.975192,106.7993,IDJKT
Indonesia,"MERATUS KAMPAR",JAKARTA,"2022-11-28 06:00:00",IDJKT,,JAKARTA,9741205,Cargo,"2022-11-25 12:53:48",-6.073508,106.8825,IDJKT
Indonesia,"PRATIWI SATU",JAKARTA,"2022-11-25 18:00:00","ID JAKARTA","2022-11-25 10:06:00","JAKARTA ANCH",9399650,Cargo,"2022-11-25 12:53:23",-6.047063,106.8992,
Indonesia,"TANTO MITRA",JAKARTA,"2022-11-25 04:00:00","TG PRIOK","2022-11-24 19:36:00","JAKARTA ANCH",9810094,Cargo,"2022-11-25 12:54:16",-6.049333,106.8739,
Indonesia,"ALEXINDO 1","BATU AMPAR","2022-11-10 20:00:00",BATAM,,JAKARTA,9193965,Cargo,"2022-11-25 12:53:17",-6.077715,106.807,IDJKT
Indonesia,"TANTO CAHAYA",JAKARTA,"2022-11-25 19:00:00","TG. PRIOK JAKARTA","2022-11-25 12:07:00","JAKARTA ANCH",8807569,Cargo,"2022-11-25 12:52:20",-6.025935,106.8953,
Indonesia,"PALUH TABUAN/PERTAMINA 1019",JAKARTA,"2022-12-08 06:00:00",TG.PRIOK-JKT,,"JAKARTA ANCH",7900168,Tanker,"2022-11-24 06:53:48",-6.00674,106.9296,
Indonesia,"BALI SANUR",JAKARTA,"2022-11-24 22:30:00","ID JKT",,JAKARTA,9465473,Cargo,"2022-11-25 12:52:10",-6.102705,106.8825,IDJKT
Indonesia,"HASIL LAUT XII",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2022-11-25 12:53:59",-6.097507,106.8021,IDJKT
Indonesia,"TANTO KHARISMA",JAKARTA,"2022-11-23 10:00:00",JAKARTA,,JAKARTA,9915387,Cargo,"2022-11-25 12:54:03",-6.103768,106.8745,IDJKT
Indonesia,"LAYAR ARTHAWIBAWA",JAKARTA,"2022-09-22 22:00:00",JAKARTA,,"JAKARTA ANCH",9164885,Tanker,"2022-11-17 03:37:09",-6.037152,106.9006,
Indonesia,"KM SMR",,"2023-01-01 12:00:00",A,,"JAKARTA ANCH",4735598,Passenger,"2022-11-25 12:51:23",-5.954912,106.9185,
Indonesia,"TANTO KASIH",JAKARTA,"2022-11-24 13:30:00",JAKARTA,"2022-11-25 08:16:00","JAKARTA ANCH",9852391,Cargo,"2022-11-25 12:52:54",-6.06344,106.8748,
Indonesia,"JML ABADI",JAKARTA,"2022-11-24 06:00:00","TG.PRIOK JAKARTA",,"JAKARTA ANCH",9200196,Cargo,"2022-11-25 12:54:04",-6.064895,106.8946,
Indonesia,"SMS SAGITA",BAKAUHENI,"2022-11-14 01:00:00","MERAK-BAKAUHENI- PP",,JAKARTA,8705747,Passenger,"2022-11-19 05:17:40",-6.09429,106.8813,IDJKT
Indonesia,"PAN MARINE 8",JAKARTA,"2022-11-17 21:30:00","TG PRIUK",,JAKARTA,9483592,"Special Craft","2022-11-25 12:50:14",-6.112185,106.8672,IDJKT
Indonesia,"KALIMANTAN II",JAKARTA,"2022-11-12 06:48:00","TG PRIOK",,JAKARTA,8201789,"Special Craft","2022-11-12 03:00:13",-6.11492,106.8634,IDJKT
Indonesia,"TANTO MANDIRI",JAKARTA,"2022-11-24 20:00:00",TGPRIOK,"2022-11-25 13:21:00","JAKARTA ANCH",9810109,Cargo,"2022-11-25 12:54:10",-6.043388,106.8682,
Indonesia,"MERATUS WAINGAPU",JAKARTA,"2022-11-24 15:00:00","ID JKT",,JAKARTA,9838888,Cargo,"2022-11-25 12:54:02",-6.09864,106.8827,IDJKT
Indonesia,"SURYA SAMUDRA V",JAKARTA,"2022-11-02 10:00:00",JAKARTA,,JAKARTA,8107610,Cargo,"2022-11-15 07:59:40",-6.103543,106.9086,IDJKT
Indonesia,"LINTAS BRANTAS",JAKARTA,"2022-11-25 16:43:00",JAKARTA,"2022-11-24 23:00:00",JAKARTA,8657548,Cargo,"2022-11-25 12:51:38",-6.100955,106.8926,IDJKT
Indonesia,"IDN WARSHIP 907",,"1900-01-01 00:00:00",,,"JAKARTA ANCH",0,"Special Craft","2022-11-11 06:33:33",-6.05668,106.8934,
Indonesia,"PERMATA PIONEER",JAKARTA,"2022-11-18 10:00:00","ID JKT",,"JAKARTA ANCH",9246944,Tanker,"2022-11-25 12:53:23",-6.039433,106.8927,
Indonesia,"CB MAGELANG",,"2022-05-08 15:25:00","PHE OSES",,JAKARTA,9743784,"Special Craft","2022-11-25 12:51:08",-6.114375,106.8615,IDJKT
Indonesia,"ALKEN PRINCESS",JAKARTA,"2022-11-24 11:00:00",JAKARTA,,JAKARTA,9020613,Cargo,"2022-11-24 03:46:14",-6.120306,106.811,IDJKT
Indonesia,"DIVINE SUCCESS",BATEN,"2021-11-01 12:00:00","BOJONEGARA - BANTEN",,JAKARTA,7222607,Cargo,"2021-11-19 03:17:48",-6.107868,106.9622,IDJKT
Indonesia,"FORTUNE PACIFIC XLIX",JAKARTA,"2022-07-07 12:00:00",TG.PRIOK,,JAKARTA,9432086,Tanker,"2022-09-09 21:06:09",-6.095788,106.8802,IDJKT
Indonesia,"PAN MARINE 19",,"2022-11-25 18:30:00",KALIJAPAT000,,JAKARTA,9709582,"Special Craft","2022-11-25 12:50:44",-6.114326,106.8616,IDJKT
Indonesia,"SEKAR PERMATA",,"1900-01-01 00:00:00",,,JAKARTA,8627696,Cargo,"2022-11-13 00:39:28",-6.112613,106.8124,IDJKT
Indonesia,"KT.BATAVIA II 216","TELUK SEMANGKA",,"No data (CLASS B transponder)",,JAKARTA,9617870,Tug,"2022-11-21 10:05:37",-6.095489,106.9191,IDJKT
Indonesia,"INTAN DAYA 272",SURABAYA,,"No data (CLASS B transponder)",,JAKARTA,9861914,Cargo,"2022-11-25 09:10:23",-6.105048,106.8775,IDJKT
Indonesia,"TB TOL LANDAK VI",,,"No data (CLASS B transponder)",,"JAKARTA ANCH",0,Tug,"2022-11-25 12:54:13",-6.064273,106.8693,
Indonesia,"TB LL HELPRIT",,"2022-11-24 01:00:00",JKRT,,"JAKARTA ANCH",9954670,Tug,"2022-11-25 12:53:33",-6.077392,106.8792,
Indonesia,"JAYAKARTA 3",JAKARTA,"1900-01-01 00:00:00",,,JAKARTA,8993710,Tug,"2022-11-25 12:53:31",-6.09868,106.8917,IDJKT
Indonesia,"INTAN DAYA 15",JAKARTA,"2022-11-24 22:00:00","ID JKT",,JAKARTA,9787534,Cargo,"2022-11-25 12:51:51",-6.105397,106.8879,IDJKT
Indonesia,"TRANSKO CELEBES",JAKARTA,"2022-11-25 02:15:00",MARUNDA,,"JAKARTA ANCH",9644914,"Special Craft","2022-11-25 12:50:53",-6.072555,106.9517,
Indonesia,HOMANZAN,JAKARTA,"2022-11-24 17:30:00",MARUNDA,,JAKARTA,9020730,Cargo,"2022-11-25 12:54:16",-6.073133,106.9705,IDJKT
Indonesia,"TB.SDS 36",JAKARTA,"1900-01-01 00:00:00",,,JAKARTA,9342308,Tug,"2022-11-25 12:52:47",-6.102068,106.8828,IDJKT
Indonesia,"MEKAR SEJATI",JAKARTA,"2022-11-23 15:00:00","TG PRIUK",,"JAKARTA ANCH",8997857,"Special Craft","2022-11-25 12:42:09",-6.076002,106.89,
Indonesia,"SEACOVE PEARL",JAKARTA,"2022-11-10 00:00:00",JAKARTA,,JAKARTA,9723796,"Special Craft","2022-11-25 12:53:15",-6.105802,106.9586,IDJKT
Indonesia,"FERRINDO 5",JAKARTA,"2022-10-26 07:00:00",TG.PRIOK,,JAKARTA,8702501,Cargo,"2022-10-28 05:42:03",-6.103792,106.9096,IDJKT
